track_id,track_name_x,popularity,track_uri,artist_name,artist_popularity,artist_genres,album,track_name_y,danceability,energy,tempo,loudness,valence,speechiness,instrumentalness,liveness,acousticness
4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,88,spotify:track:4cG7HUWYHBV6R6tHn1gxrl,Riton,74,"['dance pop', 'edm', 'house', 'pop dance', 'tropical house', 'uk dance']",Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,0.824,0.862,122.98,-3.424,0.801,0.126,0.000132,0.303,0.0076
4VuS959DSpr82t3qBqCrWG,Supermarket Flowers,79,spotify:track:4VuS959DSpr82t3qBqCrWG,Ed Sheeran,96,"['pop', 'uk pop']",÷ (Deluxe),Supermarket Flowers,0.589,0.242,89.749,-10.517,0.257,0.0442,0.0,0.0887,0.914
5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,86,spotify:track:5hVghJ4KaYES3BFUATCYn0,"Tyler, The Creator",90,"['hip hop', 'rap']",IGOR,EARFQUAKE,0.554,0.498,79.635,-8.866,0.413,0.0685,5.98e-06,0.795,0.23
5uDASfU19gDxSjW8cnCaBp,Chill Bill (feat. J. Davi$ & Spooks),81,spotify:track:5uDASfU19gDxSjW8cnCaBp,Rob $tone,65,['san diego rap'],Chill Bill (feat. J. Davi$ & Spooks),Chill Bill (feat. J. Davi$ & Spooks),0.886,0.427,108.034,-10.028,0.23,0.145,0.00099,0.0906,0.0312
5IVuqXILoxVWvWEPm82Jxr,Crazy In Love (feat. Jay-Z),81,spotify:track:5IVuqXILoxVWvWEPm82Jxr,Beyoncé,87,"['dance pop', 'pop', 'r&b']",Dangerously In Love,Crazy In Love (feat. Jay-Z),0.646,0.77,99.165,-6.596,0.681,0.226,0.0,0.0715,0.00249
10GJQkjRJcZhGTLagFOC62,Most Girls,77,spotify:track:10GJQkjRJcZhGTLagFOC62,Hailee Steinfeld,76,"['dance pop', 'pop', 'post-teen pop']",Most Girls,Most Girls,0.756,0.572,102.986,-7.019,0.417,0.0763,0.0,0.0853,0.0478
36phXHOKx8rO7CMp2vNX4x,Love Myself,75,spotify:track:36phXHOKx8rO7CMp2vNX4x,Hailee Steinfeld,76,"['dance pop', 'pop', 'post-teen pop']",HAIZ,Love Myself,0.617,0.759,122.924,-6.785,0.324,0.0678,0.0,0.419,0.0026
5J4ZkQpzMUFojo1CtAZYpn,Love Me Harder,79,spotify:track:5J4ZkQpzMUFojo1CtAZYpn,Ariana Grande,93,"['dance pop', 'pop']",My Everything (Deluxe),Love Me Harder,0.472,0.714,98.992,-4.389,0.24,0.0334,0.0,0.0764,0.00937
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,83,spotify:track:017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,94,"['dance pop', 'pop', 'uk pop']",Future Nostalgia,Break My Heart,0.73,0.729,113.011,-3.434,0.467,0.0884,1.39e-06,0.349,0.167
3YRCqOhFifThpSRFJ1VWFM,November Rain,83,spotify:track:3YRCqOhFifThpSRFJ1VWFM,Guns N' Roses,82,"['glam metal', 'hard rock', 'rock']",Use Your Illusion I,November Rain,0.294,0.641,79.759,-9.316,0.226,0.0291,0.22,0.112,0.0163
6eN1f9KNmiWEhpE2RhQqB5,Paradise City,77,spotify:track:6eN1f9KNmiWEhpE2RhQqB5,Guns N' Roses,82,"['glam metal', 'hard rock', 'rock']",Appetite For Destruction,Paradise City,0.268,0.98,100.315,-5.958,0.395,0.103,0.00709,0.182,0.0192
